Artist,# Keep,# Cull,Total Games by This Artist,Games
Pierrick Yakovenko,0,1,1,Jungle Speed (CULL)
Max Prentis,0,1,1,Second Chance (CULL)
Justine Nortjé,0,1,1,Second Chance (CULL)
Clément Masson,0,1,1,Five Tribes (CULL)
Ronald Halliday,0,1,1,Seven Bridges (CULL)
Michael T Schroeder,0,1,1,Seven Bridges (CULL)
Leon Schiffer,0,1,1,That's Pretty Clever! (CULL)
Jason Glover,0,1,1,Stew (CULL)
Sofia Muzychka,0,1,1,Stew (CULL)
Pierô,0,1,1,Mr. Jack (CULL)
Régis Bonnessée,0,1,1,Seasons (CULL)
Alex Fernandez (I),0,1,1,Zombie Dice (CULL)
Michael Michaels,0,1,1,Ligretto (CULL)
Vito Gesualdi,0,1,1,Star Realms (CULL)
Oliver Howe,0,1,1,Keep (CULL)
Barbara Trela-Szyma,0,1,1,Stronghold: 2nd edition (CULL)
Noah Adelman,0,1,1,Gùgōng (CULL)
Chris Bilheimer,0,1,1,A Gentle Rain (CULL)
Karolina Kijak,0,1,1,Meadow (CULL)
Katarzyna Fiebiger,0,1,1,Meadow (CULL)
